문장,성별
지금 난 기분이 너무 좋아.,여성
나도 조카가 생겨! 너무 기뻐.,여성
거래처와의 다음 계약이 무산될까봐 불안해.,여성
당뇨로 고생 중인데 아내가 이혼하자더군. 아내가 날 버리면 병은 더 악화될 텐데 세상에 나 혼자 남은 기분이야.,남성
노년에 재정적으로 이루어 놓은게 없어서 걱정이야.,남성
요즘 코로나 때문에 김 할아버지를 만나러 가지 못하고 있어.,여성
하루 만에 부서 동료가 모두 다른 사람으로 바뀌어서 당황스러웠어.,남성
오늘 오빠가 나 때문에 엄마랑 싸웠어.,여성
최근 물난리로 인해 직장동료가 죽었어. 다들 슬픔에 잠겨 있어.,남성
아내가 검사를 받고 싶다고 했는데 약국에서 약만 사주다가 결국 큰 병으로 만들고 말았어.,남성
박 과장님이 나에게 너무 모욕적인 말을 했어.,여성
아파트 부녀회장과 부녀회의 참석 문제로 의견 충돌이 생겼어. 정말 스트레스받아.,여성
우리아이가 일찍 철이 들고 성숙해서 우리는 편안하게 육아를 했어,남성
어제 건강검진을 받았는데 상태가 많이 안 좋네.,여성
아 귀찮게 또 병원에 오라고 하네.,남성
주식 투자로 남편이 기분이 좋은가 봐.,여성
내 남자친구가 나를 두고 바람을 피웠어.,여성
지금 여자친구랑 연애하길 잘했다.,남성
오늘 친구를 만났는데 정말 실망스러웠어.,남성
